test_store,control_store,abs_perc_diff
1387,5661,0.00072883
4630,2763,0.00314707
1102,2687,0.00445468
5731,1111,0.00461084
1253,2661,0.00502691
3400,2646,0.0050285
3007,5615,0.00590223
2564,3275,0.00596307
3229,3802,0.00618323
1262,2667,0.00652434
2583,2625,0.00666705
3240,1188,0.00748582
7008,3179,0.00757292
1030,1280,0.00892347
5674,3108,0.00944484
4367,1177,0.00947308
1112,1380,0.00948647
3310,1135,0.00988675
2703,2751,0.0102882
2585,2514,0.0103386
2824,2340,0.0104917
1063,2621,0.0111298
1647,1092,0.0111945
4379,7220,0.0116322
3604,2512,0.0118782
3186,4304,0.0120956
3389,1368,0.0127486
1167,1288,0.0128445
3191,1080,0.0130104
2848,2601,0.0130522
1174,3221,0.0132044
1287,2665,0.013576
3313,3163,0.0136797
3210,7006,0.0148247
5736,3193,0.0150674
1761,7208,0.0151446
2052,1221,0.0165525
5681,2075,0.016618
3140,3159,0.0176006
2547,5799,0.018147
4356,2551,0.0184323
3196,3268,0.0186134
4302,4857,0.018787
3250,7213,0.0191715
3315,2308,0.0196742
1124,2600,0.0196748
7012,2898,0.0205136
2619,3242,0.0208686
2853,2569,0.0220701
2606,1103,0.0236359
3166,1056,0.0244155
3306,1422,0.0254902
2620,4372,0.0275725
4387,7216,0.0277974
3066,2592,0.028758
1632,3141,0.0300515
1189,2555,0.0305396
4029,3319,0.0316844
1206,1603,0.0332202
4313,3161,0.0338644
2700,7011,0.0339514
1446,3092,0.0342512
1614,2726,0.0379102
3222,4366,0.04224
3714,2702,0.0467216
3368,5640,0.0510425
2561,2676,0.0513631
2563,1317,0.0651642
4365,1348,0.067641
2867,7222,0.0746784
1034,4600,0.0771115
2610,1369,0.106218
3195,1156,0.145718
4602,4329,0.279008
1343,1800,7.05473
3194,2755,27.7843
